"Sample_ID","Ablabesmyia.longistyla","Ablabesmyia.sp_","Chaetocladius.sp_","Chironomini.sp_","Chironomus.acutiventris","Chironomus.annularius.cingulatus","Chironomus.bernensis","Chironomus.dorsalis","Chironomus.nuditarsis","Chironomus.sp_","Cladopelma.viridula","Cladotanytarsus.sp_","Clinotanypus.nervosus","Conchapelopia.sp_","Corynoneura.sp_","Cricotopus.ornatus","Cricotopus.sp_","Cricotopus.sylvestris.Gr_","Cryptochironomus.sp_","Cryptotendipes.sp_","Diamesa.insignipes","Diamesa.latitarsis.Gr_","Diamesa.zernyi.Gr_","Dicrotendipes.lobiger","Dicrotendipes.nervosus","Dicrotendipes.sp_","Einfeldia.pagana.Gr_","Endochironomus.albipennis","Endochironomus.sp_","Endochironomus.tendens","Eukiefferiella.gracei","Glyptotendipes.glaucus.pallens","Harnischia.sp_","Kiefferulus.tendipediformis","Macropelopia.sp_","Micropsectra.Tanytarsus.sp_","Microtendipes.pedellus","Orthocladiinae.sp_","Orthocladiini.COP","Orthocladius.frigidus","Orthocladius.oblidens","Parachironomus.sp_","Paracladopelma.sp_","Paralauterborniella.nigrohalteralis","Paratanytarsus.austriacus","Paratanytarsus.dissimilis","Paratanytarsus.lauterborni","Paratanytarsus.sp_","Paratendipes.albimanus","Pentaneurini.Gen_.sp_","Phaenopsectra.sp_","Polypedilum.bicrenatum","Polypedilum.cultellatum","Polypedilum.nubeculosum","Polypedilum.scalaenum","Polypedilum.sordens","Polypedilum.sp_","Potthastia.longimana","Procladius.sp_","Prodiamesa.olivacea","Psectrocladius.limbatellus.Gr_","Psectrotanypus.varius","Stempellina.sp_","Stictochironomus.sp_","Tanypodinae.sp_","Tanypus.kraatzi","Tanypus.sp_","Tanytarsini.sp_","Tanytarsus.brundini","Tanytarsus.gibbosiceps","Tanytarsus.lactescens","Tanytarsus.sp_","Tanytarsus.usmaensis","Zavrelimyia.sp_"
"R1_2020",0,732,0,2195,0,0,0,0,0,0,0,8047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,0,0,0,0,0,9876,0,0,0,0,0,1097,0,0,10241,0,0,0,2195,0,0
"R10_2020",0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0
"R11_2020",0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R12_2020",0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0
"R13_2020",0,0,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,1829,2195,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,366,0,0
"R14_2020",0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,732,0,0,0,732,0,0
"R15_2020",0,0,0,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17557,0,0,0,0,0,0,0,0,0,0,12070,0,0,0,0,0,0,0,0,9144,0,0,0,0,0,0
"R16_2020",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R17_2020",0,0,0,732,0,0,0,0,0,1463,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0
"R18_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,16459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R19_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R2_2020",0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0
"R20_2020",0,732,0,366,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R21_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16094,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,2560,0,0,0,732,0,0
"R22_2020",0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,732,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,732,0,1097,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0
"R23_2020",0,0,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18288,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,2560,0,0,0,0,0,0,1829,0,0
"R24_2020",0,3658,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,366,0,0,0,0,0,1097,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,2560,0,0,366,0,0,0,0,0,1829,0,13168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R25_2020",0,732,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,366,0,0,1097,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,5486,0,366,366,1463,0,0
"R26_2020",0,2195,0,1829,0,0,0,0,0,0,0,1097,0,0,0,0,0,2560,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21946,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0
"R27_2020",0,13168,0,5121,0,0,0,0,0,0,0,10241,0,0,0,0,0,6584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,54865,0,0,2926,0,0,0,0,0,0,0,10973,0,1097,0,0,0,5121,0,0,14631,0,0,0,0,0,0
"R28_2020",0,0,0,1097,0,0,0,0,0,0,0,1463,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,732,0,4755,0,0,0,0,0,366,0,0,0,0,2195,0,366,0,0,0,1097,0,0,0,0,0,0,0,0,0
"R29_2020",0,0,0,1463,0,0,0,0,0,0,0,5121,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,732,0,366,0,0,0,0,0,0,0,366,0,0,1829,0,3292,1097,0,0,0,0,0,0,0,0,0,0,0,1097,0,0
"R3_2020",0,0,0,366,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R30_2020",0,0,0,3658,0,0,0,0,0,0,0,6584,0,0,0,0,0,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,8413,0,0,366,5486,0,0
"R31_2020",0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,4023,0,0,0,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,366,0,0,0,0,2195,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R32_2020",0,0,0,1097,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,732,0,0,0,0,8778,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0
"R33_2020",0,732,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,10241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,1097,0,2195,0,0,366,0,0,732,0,0,1829,0,3292,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0
"R34_2020",366,732,0,1829,0,0,0,0,0,0,732,10973,0,0,0,0,0,3292,366,366,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,732,0,0,0,0,0,4023,1463,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R35_2020",0,0,0,0,0,0,0,0,0,4389,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R36_2020",0,0,0,8413,0,0,0,0,0,0,0,13899,0,0,0,0,0,366,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,4755,0,0,0,4755,0,0,0,0,0,1097,0,0,0,0,10973,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0
"R37_2020",0,1463,0,366,0,0,0,0,0,0,0,1097,0,0,0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,1829,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R38_2020",5486,3658,0,0,0,0,0,0,0,0,0,16094,0,0,0,0,0,732,732,0,0,0,0,0,0,2560,0,0,0,0,0,0,0,0,0,0,732,1463,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,366,0,1097,0,0,2926,0,0,0,5486,0,0
"R39_2020",366,732,0,0,0,0,0,0,0,0,0,2560,0,0,366,0,0,1097,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,366,0,0,0,366,0,0,0,0,0
"R4_2020",0,0,0,732,0,0,0,0,0,0,1097,0,366,0,0,0,0,366,0,0,0,0,0,0,0,1097,0,0,0,1097,0,366,0,1097,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R40_2020",549,0,0,914,0,0,0,0,0,0,0,1463,0,0,0,0,0,5304,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,183,0,1829,0,0,366,0,0,0,0,0,0,183,1097,366,549,0,0,0,0,0,0,2195,0,0,0,2743,0,0
"R41_2020",0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R42_2020",0,0,0,0,0,0,0,0,0,0,0,3658,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,1280,0,0,0,366,0,0
"R43_2020",0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,0,0,0,0,0,0,549,0,914,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R44_2020",732,6584,0,2743,0,0,0,0,0,0,0,24323,0,0,0,0,0,1829,2743,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,4023,2743,0,0,0,0,0,0,0,183,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,2743,0,0,0,5669,0,0
"R45_2020",0,1097,0,2377,0,0,0,0,0,0,0,16459,0,0,0,0,0,3658,1829,0,0,0,183,0,0,1829,0,0,0,0,0,0,0,0,0,0,1097,0,366,0,0,0,1280,914,0,1463,0,9144,0,0,5486,0,0,0,0,0,10973,0,2195,2195,366,0,0,0,0,0,0,3475,0,0,0,4572,0,0
"R46_2020",0,732,0,0,0,0,0,0,0,732,0,9144,0,0,0,0,0,549,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1463,0,0,183,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,3109,0,0,0,2195,0,0
"R47_2020",0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R48_2020",0,0,0,732,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R49_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R5_2020",0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,366,0,1829,366,0,0,0,0,0,0,366,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,366,0,0,732,0,0,0,0,0,0
"R50_2020",0,1463,0,732,0,0,0,0,0,0,0,5486,0,183,0,0,0,2195,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,1829,0,7498,0,0,0,0,0,0,183,0,0,0,0,0,183,0,0,0,0,0,0,5852,0,183,0,914,0,0
"R51_2020",0,0,0,366,183,0,0,0,0,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,732,0,0,0,183,183,0,0,0,0,0,0,0,0,0
"R52_2020",0,732,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R53_2020",366,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R54_2020",0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,732,366,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R55_2020",0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,732,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,1829,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0
"R56_2020",0,0,0,2377,0,0,0,0,0,0,0,549,0,0,914,0,0,3658,0,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,9510,0,0,1097,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,4023,0,0,0,0,0,0
"R57_2020",0,0,0,366,0,0,0,0,0,0,0,1280,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,366,0,732,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R6_2020",0,0,0,5486,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19751,0,0,0,0,366,0,0,0,9144,0,1097,0,732,0,0,0,732,0,0,2926,0,0,0,0,0,0
"R68_2020",0,0,0,2560,0,0,0,0,0,0,0,13168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,6584,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0
"R69_2020",0,0,0,0,0,0,2926,0,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,1097,366,0,0,0,0,366,0,0,0,0,0,0,0,0,0
"R7_2020",0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,366,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R70_2020",0,0,0,183,0,0,183,0,0,0,0,549,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,183,366,0,0,0,0,0,0,0,0,0,0,549,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0
"R76_2020",0,0,0,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,732,0,0,0,732,0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R77_2020",0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,366,0,0,0,0,0,0,0,0,366,4023,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R78_2020",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,0,0,0,0,0,0,0,366,0,183,0,0,0,0,0,0,0,0,0,549,0,0,0,183,0,0,0,0,183,9144,0,0,0,0,0,183,0,0,0,0,1646,0,0,0,0,0,0,0,0,366,0,0,0,914,0,0
"R79_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R8_2020",0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R80_2020",0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,7315,0,0,0,0,0,366,0,2926,3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R81_2020",0,0,0,366,0,0,0,0,1097,1463,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,1463,0,0,0,0,0,732,0,1097,9144,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R82_2020",0,0,0,914,0,0,0,0,0,0,0,13533,0,0,0,0,0,0,1280,0,0,0,0,0,366,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,8595,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,3475,2743,0
"R83_2020",0,0,0,0,0,732,0,2195,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,1829,0,0,0,0,0,0,366,0,0
"R84_2020",0,0,0,0,0,366,0,0,366,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R85_2020",0,0,0,0,0,732,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,2195,0,0,366,0,0,0,0,0,0,0,0,0,1097,0,0
"R86_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0
"R87_2020",0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,2926,0,0,0,0,0,366,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R88_2020",0,366,0,1829,0,0,0,0,0,0,0,2012,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,3841,0,0,0,0,0,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,914,0,0,0,914,0,0
"R89_2020",0,0,0,2377,0,0,0,0,0,0,0,2560,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,3109,0,0,0,0,0,1646,0,0,0,0,1097,0,0,183,0,0,0,0,0,1463,0,0,0,549,0,0
"R9_2020",0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0
"R94_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,549,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R95_2020",0,366,0,914,0,0,0,0,0,0,0,15545,0,0,0,0,0,0,732,0,0,0,0,0,0,914,0,0,0,0,0,0,0,366,0,0,183,0,0,0,0,0,1280,0,0,0,0,1280,0,0,0,0,0,1463,0,0,0,0,7132,366,0,0,0,0,0,0,0,914,0,0,0,2743,0,0
"R96_2020",0,0,0,183,0,0,0,0,0,0,0,3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,2743,0,0,0,0,0,0,0,0,0,0,0,0,549,183,0
"R97_2020",0,0,0,366,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,366,6584,0,0,0,0,0,1097,0,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R98_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R99_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
