"Sample_ID","Amphichaeta.leydigii","Aulodrilus.japonicus","Aulodrilus.limnobius","Aulodrilus.pluriseta","Branchiura.sowerbyi","Chaetogaster.cristallinus","Chaetogaster.diaphanus","Chaetogaster.diastrophus","Chaetogaster.diversisetosus","Chaetogaster.langi","Criodrilus.lacuum","Dero.digitata","Dero.obtusa","Enchytraeidae.sp_","Ilyodrilus.templetoni","Isochaetides.michaelseni","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.sp_","Limnodrilus.udekemianus","Lumbriculidae.sp_","Nais.barbata","Nais.bretscheri","Nais.christinae","Nais.communis","Nais.elinguis","Nais.pardalis","Nais.pseudobtusa","Nais.simplex","Nais.sp_","Nais.stolci","Nais.variabilis","Ophidonais.serpentina","Piguetiella.blanci","Potamopyrgus.antipodarum","Potamothrix.danubialis","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.mrazeki","Potamothrix.vejdovskyi","Pristina.aequiseta","Pristina.longiseta","Pristinella.bilobata","Propappus.volki","Psammoryctides.barbatus","Psammoryctides.moravicus","Psammoryctides.sp_","Rhynchelmis.limosella","Slavina.appendiculata","Specaria.josinae","Stylaria.lacustris","Stylodrilus.brachystylus","Stylodrilus.heringianus","Trichodrilus.sp_","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"R1_2020",0,0,0,0,1097,0,0,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0
"R10_2020",0,366,0,0,0,0,0,0,0,0,0,0,1097,0,2195,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,0,0
"R100_2020",0,0,0,0,0,0,0,0,0,0,183,549,0,1463,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,2560,0,0,0
"R11_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0
"R12_2020",0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0
"R13_2020",0,0,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,3292,0,0,0,0,7315,0,0,0
"R14_2020",0,366,0,0,0,0,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,2926,0,0,0
"R15_2020",0,0,0,0,0,0,0,0,0,0,0,1097,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2560,0,0,0
"R16_2020",0,0,0,0,0,0,0,0,0,0,0,1097,366,0,366,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,4389,0,0,0
"R17_2020",0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70227,0,0,0
"R18_2020",0,1463,0,0,4755,0,0,0,0,0,0,0,732,0,0,0,0,4389,0,0,0,0,0,0,0,0,732,0,0,0,0,0,3658,0,2195,0,0,732,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,17191,0,0,0
"R19_2020",0,0,0,0,732,0,0,0,0,0,0,0,366,0,0,0,1097,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,15362,0,0,366
"R2_2020",0,366,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,4023,0,0,0
"R20_2020",0,0,0,0,732,0,0,0,0,0,0,0,1829,0,0,0,1097,1463,0,0,0,0,0,366,732,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,1097,366,0,0,0,0,14265,0,0,0
"R21_2020",0,0,0,366,1097,0,0,0,0,0,0,366,366,0,366,0,1829,1097,366,366,0,0,0,2926,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,366,18654,0,0,0
"R22_2020",0,0,0,0,1097,0,0,0,0,0,0,0,732,0,0,0,732,2926,0,0,0,0,0,5121,0,0,0,0,732,0,0,0,4389,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,0,12436,0,0,0
"R23_2020",0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,8047,0,0,0
"R24_2020",0,732,0,0,2195,0,732,0,0,0,0,0,0,1463,0,0,1463,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,29993,0,0,0
"R25_2020",0,732,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,732,0,2926,0,0,0,0,0,0,1463,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,366,0
"R26_2020",0,0,0,0,366,0,0,0,0,0,0,0,732,0,732,0,0,5121,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,2195,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,16825,0,0,0
"R27_2020",0,4023,0,0,1097,732,0,0,0,0,0,0,0,732,0,0,0,366,0,0,0,732,0,2926,0,0,0,366,0,0,0,0,14631,0,0,0,0,0,0,0,0,0,0,732,1463,0,0,0,13533,1463,2926,0,0,0,0,11704,0,0,0
"R28_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,1829,0,1097,0,366,0,366,0,0,366,0,732,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,1097,0,366,0,0,0,0,12802,0,0,732
"R29_2020",0,0,0,0,366,0,732,0,0,0,0,0,0,0,0,0,1463,732,0,366,0,0,0,366,0,0,4023,366,0,0,366,366,0,0,366,0,0,732,0,0,0,366,0,0,0,0,0,0,0,2195,0,0,0,0,0,13533,0,0,10607
"R3_2020",0,0,0,0,0,0,0,0,0,0,0,0,2926,0,366,0,0,0,0,0,0,366,0,366,2926,0,0,0,366,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,1463,0,0,0
"R30_2020",0,0,0,0,2926,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,732,0,0,0,0,0,6950,0,732,0,0,0,0,0,12436,0,0,0,0,0,0,0,0,0,732,0,366,0,1463,0,0,732,0,0,0,10241,0,0,7315
"R31_2020",0,0,0,0,0,0,732,0,0,0,0,732,0,0,1463,0,3658,4755,0,0,732,4389,0,732,0,0,0,0,0,0,0,732,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,732,10973,0,0,1463
"R32_2020",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,12070,2560,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,19386,0,0,0
"R33_2020",0,0,0,0,732,0,1097,0,0,0,0,0,0,0,0,0,1097,366,0,0,0,1829,0,2926,0,0,0,366,0,0,0,0,732,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,2195,1463,0,0,0,0,19020,0,0,7681
"R34_2020",0,0,732,0,732,366,0,0,0,0,0,0,366,0,0,0,1463,1829,0,366,0,0,0,732,0,0,366,0,0,0,0,0,732,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,11339,0,0,9510
"R35_2020",0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,8778,0,0,0
"R36_2020",0,0,0,0,1829,0,366,0,0,0,0,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4755,732,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,2560,366,0,0,0,0,4389,366,0,2560
"R37_2020",0,0,0,0,366,0,0,0,0,0,0,0,2560,0,732,0,3292,1463,0,0,0,0,0,0,732,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,366,732,0,0,0,0,10973,0,0,366
"R38_2020",0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,366,0,0,0,0,183,0,0,0,0,183,0,0,914,0,0,0,0,0,0,0,0,0,183,0,0,0,2012,0,183,0,366,0,0,0,0,0,0
"R39_2020",0,732,0,0,732,0,366,0,0,0,0,732,366,0,0,0,0,366,0,0,0,6950,0,6584,366,0,4389,366,366,0,0,0,1097,0,366,0,0,0,0,0,0,366,0,0,1463,0,0,0,366,0,2560,0,0,366,0,3292,0,0,0
"R4_2020",0,0,0,0,366,0,0,0,0,0,1097,0,0,0,0,0,732,732,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14265,0,0,0
"R40_2020",0,732,0,0,0,0,732,0,0,0,0,0,732,0,732,0,732,2195,0,0,0,24140,732,26335,0,0,2926,2195,0,0,0,732,0,0,366,0,0,0,0,0,0,0,0,0,2195,0,0,0,5121,0,4389,0,0,0,0,5852,0,0,1463
"R41_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R42_2020",0,549,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,1097,0,0,0,0,1280,0,183,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,1280,366,0,0,366,0,366,0,0,0,0,549,0,0,0
"R43_2020",0,183,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,183,0,0,914,0,0,183,0,0,366,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,183,0,1646,0,0,0
"R44_2020",0,0,0,0,0,0,1463,0,0,0,0,366,0,0,0,0,0,0,0,0,915,4389,366,6584,366,0,3292,0,0,0,0,0,732,0,1280,0,0,0,0,0,0,0,0,0,183,0,0,0,6950,0,1463,0,183,0,0,366,0,0,0
"R45_2020",1463,732,0,0,914,0,5852,0,0,0,0,0,1463,0,0,0,0,2560,0,0,0,28530,1463,29993,732,732,2195,0,732,0,0,732,17557,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10973,0,0,0,0,36942,732,0,3658
"R46_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,3109,0,8413,0,549,732,0,183,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,4023,366,0,0,183,0,366,183,183,0,0,366,0,0,0
"R47_2020",0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,366,0,0,0
"R48_2020",0,1829,0,0,366,0,732,0,0,0,0,0,1097,366,0,0,0,0,0,0,366,366,0,2195,0,0,366,0,0,0,0,0,732,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,366,732,0,0,0,0,366,0,0,0
"R49_2020",0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,366,0,0,0,0,1097,0,0,0
"R5_2020",0,0,0,0,1463,0,0,0,0,0,0,0,366,0,0,0,2926,0,0,0,366,732,0,366,366,0,366,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,732,0,0,0,0,13533,0,0,0
"R50_2020",0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10973,0,6767,549,0,0,0,0,0,0,0,549,0,366,0,0,732,0,0,0,0,0,0,3658,0,0,0,549,549,9327,0,0,0,0,4390,0,0,0
"R51_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0
"R52_2020",0,1097,0,0,732,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,1463,1097,732,0,0,0,366,0,0,0,0,8413,0,0,0
"R53_2020",0,1463,0,0,6584,0,0,0,0,0,0,0,0,732,0,0,2195,4389,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,732,0,732,0,0,0,0,0,0,0,0,0,0,28530,0,0,0
"R54_2020",0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,366,732,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,6584,0,0,0
"R55_2020",0,0,0,0,1463,0,0,0,0,0,0,0,732,0,0,0,2926,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,34382,0,0,0
"R56_2020",366,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,1829,0,0,0,0,366,0,0,0,2560,0,732,0,0,366,0,0,0,0,0,0,1646,0,0,0,0,0,2195,0,0,1463,0,3658,366,0,0
"R57_2020",0,183,0,549,183,0,0,732,0,0,0,549,0,0,0,0,0,183,0,0,0,1097,0,2377,183,0,2195,0,0,0,0,0,183,0,366,0,0,0,0,549,0,0,0,0,0,0,0,0,549,0,732,0,0,0,0,1829,0,0,0
"R6_2020",0,732,0,0,1463,0,0,0,0,0,366,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,4755,0,0,366,0,5487,0,0,0
"R68_2020",732,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,366,0,0,0,0,0,0,1829,0,0,0,0,1097,0,0,0,0,0,6949,3292,0,3658
"R69_2020",0,0,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,1463,0,0,0,0,0,366,0,0,366,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0
"R7_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15362,0,0,0
"R70_2020",0,0,0,0,0,0,0,0,0,0,0,183,366,549,0,0,0,366,0,0,0,0,0,183,0,0,0,0,0,0,0,0,1097,0,183,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,183,0,183,0,0,6584,183,0,0
"R76_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,4755,0,0,0
"R77_2020",0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,2926,0,0,732
"R78_2020",0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,914,183,0,183,0,549,0,0,0,0,0,4572,0,0,0,0,0,0,366,0,0,366,0,0,0,1280,0,0,0,0,0,0,0,0,0,914
"R79_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,4206,0,0,0
"R8_2020",0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,15362,0,0,0
"R80_2020",0,0,0,0,0,0,0,0,0,0,0,0,366,366,0,0,1097,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,732,17557,0,0,0
"R81_2020",0,0,0,0,0,0,0,0,0,0,0,0,5121,0,0,0,1463,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14631,0,0,0
"R82_2020",0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,366,732,0,0,549,0,366,0,0,0,0,0,4755,0,0,0,366,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,4024,0,0,0
"R83_2020",0,0,0,732,0,0,732,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,33285,0,0,0
"R84_2020",0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,0,0
"R85_2020",0,0,0,0,0,0,0,0,0,0,0,732,1463,0,0,0,5852,2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,50475,0,0,0
"R86_2020",0,0,0,0,0,0,0,0,0,0,183,0,366,183,0,0,0,183,0,0,183,0,0,366,183,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,183,0,0,0,3109,0,0,366
"R87_2020",0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,366,0,0,0,0,0,0,366,732,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5852,0,0,0
"R88_2020",0,0,0,0,0,0,0,0,0,0,0,0,549,3292,0,0,0,8778,0,0,549,0,0,0,0,0,1646,0,1097,0,0,0,0,0,17740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18654,0,0,1646
"R89_2020",0,0,0,0,0,0,0,0,0,0,0,549,549,549,0,0,0,0,0,0,0,914,0,732,366,0,2195,366,366,0,1646,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0
"R9_2020",0,4023,0,366,732,0,0,0,0,0,0,2195,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11339,0,0,0
"R94_2020",0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,183,0
"R95_2020",0,0,0,0,0,0,0,0,0,0,0,0,2377,0,0,0,0,0,0,0,549,2012,0,732,183,0,2012,0,183,0,183,183,366,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,366,0,183,0,0,0,0,0,0,183,2377
"R96_2020",2012,0,0,0,183,0,0,0,0,549,0,0,0,0,0,0,366,0,0,0,0,0,0,183,183,0,1280,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0
"R97_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,732,0,0,366,0,1097,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14996,0,0,0
"R98_2020",0,0,0,366,732,0,0,0,0,0,732,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0
"R99_2020",0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,9876,0,0,0
